Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;4.917;64.417;0.0;nan
2024-03-08 14:00:00;5.124;61.425;0.0;615.699
2024-03-08 15:00:00;5.329;61.257;0.0;504.617
2024-03-08 16:00:00;4.755;60.423;0.0;350.233
2024-03-08 17:00:00;3.411;61.712;0.0;174.168
2024-03-08 18:00:00;1.295;65.509;0.0;28.544
2024-03-08 19:00:00;1.939;62.726;0.0;14.272
2024-03-08 20:00:00;-1.788;80.698;0.0;0.0
2024-03-08 21:00:00;-2.475;81.741;0.0;0.0
2024-03-08 22:00:00;-2.878;81.338;0.0;0.0
2024-03-08 23:00:00;-3.204;82.62;0.0;0.0
2024-03-09 00:00:00;-3.101;82.058;0.0;0.0
2024-03-09 01:00:00;-1.015;75.569;0.0;0.0
2024-03-09 02:00:00;-2.834;81.589;0.0;0.0
2024-03-09 03:00:00;-2.675;80.366;0.0;0.0
2024-03-09 04:00:00;-2.753;80.268;0.0;0.0
2024-03-09 05:00:00;-2.686;81.289;0.0;0.0
2024-03-09 06:00:00;-1.847;80.041;0.0;0.0
2024-03-09 07:00:00;1.191;70.99;0.0;56.3535
2024-03-09 08:00:00;1.365;71.217;0.0;112.707
2024-03-09 09:00:00;3.589;67.717;0.0;196.241
2024-03-09 10:00:00;5.222;64.127;0.0;272.848
2024-03-09 11:00:00;6.452;60.591;0.0;382.826
2024-03-09 12:00:00;7.247;58.511;0.0;343.77
2024-03-09 13:00:00;8.58;45.845;0.0;391.677
2024-03-09 14:00:00;7.815;52.754;0.037;439.584
2024-03-09 15:00:00;6.838;57.041;0.073;130.579
2024-03-09 16:00:00;6.614;60.099;0.003;110.845
2024-03-09 17:00:00;5.751;64.137;0.129;30.223
2024-03-09 18:00:00;3.789;87.076;0.915;2.519
2024-03-09 19:00:00;3.196;89.316;1.7;1.2595
2024-03-09 20:00:00;2.503;95.064;2.079;0.0
2024-03-09 21:00:00;3.0;96.586;2.459;0.0
2024-03-09 22:00:00;3.318;96.191;2.005;0.0
2024-03-09 23:00:00;3.161;97.167;2.36;0.0
2024-03-10 00:00:00;2.953;97.236;2.47;0.0
2024-03-10 01:00:00;2.595;95.276;1.409;0.0
2024-03-10 02:00:00;1.54;97.625;1.875;0.0
2024-03-10 03:00:00;0.485;99.974;2.341;0.0
2024-03-10 04:00:00;0.165;99.858;2.806;0.0
2024-03-10 05:00:00;0.098;99.839;2.474;0.0
2024-03-10 06:00:00;0.086;99.797;6.427;0.0
2024-03-10 07:00:00;0.271;99.4705;3.9295;7.695666666666667
2024-03-10 08:00:00;0.456;99.144;1.432;15.391333333333334
2024-03-10 09:00:00;0.235;99.136;1.251;23.087
2024-03-10 10:00:00;0.226;98.331;1.07;39.878
2024-03-10 11:00:00;0.208;98.664;0.984;77.237
2024-03-10 12:00:00;0.235;98.406;0.481;104.102
2024-03-10 13:00:00;0.257;97.889;0.101;70.162
2024-03-10 14:00:00;0.903;94.85;0.163;65.7645
2024-03-10 15:00:00;0.201;98.035;0.207;61.367
2024-03-10 16:00:00;0.244;97.43;0.251;72.119
2024-03-10 17:00:00;0.24;97.803;0.242;36.974
2024-03-10 18:00:00;0.25;97.731;0.104;24.468
2024-03-10 19:00:00;0.223;97.747;0.039;7.659
2024-03-10 20:00:00;0.917;96.875;0.044;3.8295
2024-03-10 21:00:00;-2.214;97.965;0.346;0.0
2024-03-10 22:00:00;-1.866;98.537;0.649;0.0
2024-03-10 23:00:00;-1.143;97.121;0.228;0.0
2024-03-11 00:00:00;-1.118;89.547;0.016;0.0
2024-03-11 01:00:00;-1.37;87.574;0.021;0.0
2024-03-11 02:00:00;-0.532;82.338;0.037;0.0
2024-03-11 03:00:00;-1.139;82.65;0.036;0.0
2024-03-11 04:00:00;-1.199;80.476;0.035;0.0
2024-03-11 05:00:00;-1.724;78.923;0.022;0.0
2024-03-11 06:00:00;-1.963;78.807;0.016;0.0
2024-03-11 07:00:00;-2.046;79.131;0.022;0.0
2024-03-11 08:00:00;-1.633;76.81;0.01;30.853
2024-03-11 09:00:00;-1.739;77.404;0.005;61.706
2024-03-11 10:00:00;-1.198;76.322;0.001;149.437
2024-03-11 11:00:00;-0.564;74.582;0.0;253.119
2024-03-11 12:00:00;0.047;73.162;0.0;319.862
2024-03-11 13:00:00;0.305;72.391;0.0;311.819
2024-03-11 14:00:00;0.573;70.933;0.0;289.17150000000004
2024-03-11 15:00:00;0.704;70.226;0.0;266.524
2024-03-11 16:00:00;0.442;72.136;0.0;141.425
2024-03-11 17:00:00;0.214;73.042;0.0;106.891
2024-03-11 18:00:00;-0.164;75.093;0.0;51.548
2024-03-11 19:00:00;-0.335;75.96;0.0;10.914
2024-03-11 20:00:00;0.288;69.011;0.0;5.457
2024-03-11 21:00:00;-2.136;75.891;0.0;0.0
2024-03-11 22:00:00;-2.811;77.119;0.0;0.0
2024-03-11 23:00:00;-2.953;77.381;0.0;0.0
2024-03-12 00:00:00;-2.826;75.821;0.0;0.0
2024-03-12 01:00:00;-3.071;74.719;0.0;0.0
2024-03-12 02:00:00;-1.267;65.044;0.0;0.0
2024-03-12 03:00:00;-3.505;73.986;0.0;0.0
