Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;4.73;47.123;0.0;nan
2024-03-08 14:00:00;4.564;48.42;0.0;634.798
2024-03-08 15:00:00;4.308;50.743;0.0;530.433
2024-03-08 16:00:00;3.279;56.849;0.0;373.32
2024-03-08 17:00:00;1.344;67.315;0.0;185.921
2024-03-08 18:00:00;-0.178;75.447;0.0;36.1
2024-03-08 19:00:00;-0.363;72.319;0.0;18.05
2024-03-08 20:00:00;-1.225;73.296;0.0;0.0
2024-03-08 21:00:00;-1.581;74.086;0.0;0.0
2024-03-08 22:00:00;-1.89;75.458;0.0;0.0
2024-03-08 23:00:00;-1.796;76.901;0.0;0.0
2024-03-09 00:00:00;-1.569;78.115;0.0;0.0
2024-03-09 01:00:00;-0.284;75.154;0.0;0.0
2024-03-09 02:00:00;-0.907;75.364;0.0;0.0
2024-03-09 03:00:00;-1.476;79.097;0.0;0.0
2024-03-09 04:00:00;-1.941;81.951;0.0;0.0
2024-03-09 05:00:00;-2.379;84.655;0.0;0.0
2024-03-09 06:00:00;-2.426;86.682;0.0;0.0
2024-03-09 07:00:00;0.976;72.281;0.0;48.063
2024-03-09 08:00:00;1.521;72.532;0.0;96.126
2024-03-09 09:00:00;3.577;61.861;0.0;206.945
2024-03-09 10:00:00;4.079;57.094;0.0;259.415
2024-03-09 11:00:00;4.434;56.395;0.0;251.02
2024-03-09 12:00:00;4.248;55.375;0.058;291.719
2024-03-09 13:00:00;3.516;64.938;0.763;176.652
2024-03-09 14:00:00;2.743;69.518;0.465;61.585
2024-03-09 15:00:00;2.697;72.675;0.167;22.069
2024-03-09 16:00:00;2.246;87.815;0.258;14.719
2024-03-09 17:00:00;1.702;92.038;1.333;13.433
2024-03-09 18:00:00;1.542;97.475;1.908;2.519
2024-03-09 19:00:00;2.845;91.622;2.347;1.2595
2024-03-09 20:00:00;2.19;97.231;1.998;0.0
2024-03-09 21:00:00;2.224;97.601;1.649;0.0
2024-03-09 22:00:00;2.215;97.897;2.586;0.0
2024-03-09 23:00:00;2.086;97.397;1.425;0.0
2024-03-10 00:00:00;2.011;98.135;1.246;0.0
2024-03-10 01:00:00;2.377;97.098;1.135;0.0
2024-03-10 02:00:00;1.904;97.914;1.291;0.0
2024-03-10 03:00:00;1.43;98.729;1.446;0.0
2024-03-10 04:00:00;0.459;99.973;1.602;0.0
2024-03-10 05:00:00;0.15;99.816;3.755;0.0
2024-03-10 06:00:00;0.127;99.773;6.967;0.0
2024-03-10 07:00:00;0.2455;99.1125;3.9055;4.197666666666667
2024-03-10 08:00:00;0.364;98.452;0.844;8.395333333333333
2024-03-10 09:00:00;0.038;99.712;0.769;12.593
2024-03-10 10:00:00;0.14;99.576;0.693;27.285
2024-03-10 11:00:00;0.331;99.194;0.9;45.754
2024-03-10 12:00:00;0.49;99.766;0.586;68.842
2024-03-10 13:00:00;0.648;99.78;0.397;76.879
2024-03-10 14:00:00;2.148;92.867;0.338;84.96950000000001
2024-03-10 15:00:00;0.894;98.542;0.219;93.06
2024-03-10 16:00:00;0.384;98.929;0.101;73.168
2024-03-10 17:00:00;-0.078;98.103;0.071;34.455
2024-03-10 18:00:00;-0.946;97.039;0.054;16.912
2024-03-10 19:00:00;-1.52;95.119;0.436;5.14
2024-03-10 20:00:00;-1.106;92.356;0.754;2.57
2024-03-10 21:00:00;-2.274;91.878;0.546;0.0
2024-03-10 22:00:00;-2.597;87.4;0.338;0.0
2024-03-10 23:00:00;-3.114;82.687;0.186;0.0
2024-03-11 00:00:00;-3.658;78.203;0.037;0.0
2024-03-11 01:00:00;-4.014;77.267;0.001;0.0
2024-03-11 02:00:00;-3.435;77.519;0.0;0.0
2024-03-11 03:00:00;-4.043;74.949;0.0;0.0
2024-03-11 04:00:00;-4.201;74.804;0.0;0.0
2024-03-11 05:00:00;-4.237;74.081;0.0;0.0
2024-03-11 06:00:00;-4.334;73.319;0.0;0.0
2024-03-11 07:00:00;-4.322;73.182;0.0;0.0
