Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;-3.22;61.63;nan;nan
2024-03-08 08:00:00;-3.888;67.295;nan;194.666
2024-03-08 09:00:00;-2.41;67.607;0.0;372.018
2024-03-08 10:00:00;-1.366;69.817;0.0;521.769
2024-03-08 11:00:00;-0.605;70.982;0.0;625.871
2024-03-08 12:00:00;0.004;70.081;0.0;678.342
2024-03-08 13:00:00;0.01;71.035;0.0;642.088
2024-03-08 14:00:00;-0.061;69.98;0.0;605.834
2024-03-08 15:00:00;-0.089;68.751;0.0;491.395
2024-03-08 16:00:00;0.039;69.232;0.0;334.702
2024-03-08 17:00:00;-3.003;80.897;0.0;154.859
2024-03-08 18:00:00;-3.909;83.518;0.0;19.309
2024-03-08 19:00:00;-1.399;78.083;0.0;9.6545
2024-03-08 20:00:00;-2.498;80.79;0.0;0.0
2024-03-08 21:00:00;-3.844;89.72;0.0;0.0
2024-03-08 22:00:00;-4.662;89.708;0.0;0.0
2024-03-08 23:00:00;-5.053;79.784;0.0;0.0
2024-03-09 00:00:00;-5.409;79.914;0.0;0.0
2024-03-09 01:00:00;-3.737;74.071;0.0;0.0
2024-03-09 02:00:00;-3.936;71.282;0.0;0.0
2024-03-09 03:00:00;-5.736;81.057;0.0;0.0
2024-03-09 04:00:00;-4.622;79.069;0.0;0.0
2024-03-09 05:00:00;-4.557;80.712;0.0;0.0
2024-03-09 06:00:00;-5.006;85.46;0.0;0.0
2024-03-09 07:00:00;-2.067;75.717;0.0;62.335
2024-03-09 08:00:00;-0.707;73.316;0.0;124.67
2024-03-09 09:00:00;1.179;67.763;0.0;227.933
2024-03-09 10:00:00;2.237;65.187;0.0;324.899
2024-03-09 11:00:00;2.977;63.681;0.0;359.32
2024-03-09 12:00:00;3.132;61.393;0.0;357.203
2024-03-09 13:00:00;3.479;53.57;0.0;432.7095
2024-03-09 14:00:00;3.709;54.968;0.0;508.216
2024-03-09 15:00:00;2.64;55.865;0.0;336.054
2024-03-09 16:00:00;1.722;60.468;0.0;154.921
2024-03-09 17:00:00;1.017;64.644;0.0;54.57
2024-03-09 18:00:00;0.768;68.283;0.0;4.198
2024-03-09 19:00:00;2.222;60.792;0.0;2.099
2024-03-09 20:00:00;0.893;68.846;0.0;0.0
2024-03-09 21:00:00;1.012;70.323;0.0;0.0
2024-03-09 22:00:00;1.052;72.187;0.007;0.0
2024-03-09 23:00:00;0.897;75.884;0.063;0.0
2024-03-10 00:00:00;0.229;94.999;1.322;0.0
2024-03-10 01:00:00;0.377;95.23;1.647;0.0
2024-03-10 02:00:00;0.338;95.608;1.78;0.0
2024-03-10 03:00:00;0.299;95.985;1.912;0.0
2024-03-10 04:00:00;0.296;96.537;2.045;0.0
2024-03-10 05:00:00;0.339;95.435;0.97;0.0
2024-03-10 06:00:00;0.323;95.231;1.335;0.0
2024-03-10 07:00:00;0.2655;97.3835;1.9805;5.3870000000000005
2024-03-10 08:00:00;0.208;99.536;2.626;10.774
2024-03-10 09:00:00;-0.187;98.836;2.165;16.161
2024-03-10 10:00:00;-0.245;98.493;1.704;41.767
2024-03-10 11:00:00;-0.344;97.441;3.281;73.879
2024-03-10 12:00:00;-0.105;96.146;1.917;88.99
2024-03-10 13:00:00;-0.167;97.658;2.231;102.904
2024-03-10 14:00:00;0.099;96.833;1.663;96.5125
2024-03-10 15:00:00;-0.36;96.167;1.243;90.121
2024-03-10 16:00:00;-0.305;96.185;0.823;90.379
2024-03-10 17:00:00;-0.458;96.212;0.278;53.764
2024-03-10 18:00:00;-0.553;97.846;0.346;28.666
2024-03-10 19:00:00;-0.622;98.877;0.329;6.819
2024-03-10 20:00:00;-0.509;99.458;0.177;3.4095
2024-03-10 21:00:00;-0.595;99.372;0.541;0.0
2024-03-10 22:00:00;-0.616;99.437;0.906;0.0
2024-03-10 23:00:00;-0.478;99.496;0.67;0.0
2024-03-11 00:00:00;-0.497;99.347;0.375;0.0
2024-03-11 01:00:00;-0.652;98.596;0.295;0.0
2024-03-11 02:00:00;-0.408;98.71;0.244;0.0
2024-03-11 03:00:00;-0.727;97.454;0.301;0.0
2024-03-11 04:00:00;-0.886;97.424;0.358;0.0
2024-03-11 05:00:00;-1.141;97.831;0.798;0.0
2024-03-11 06:00:00;-1.326;98.153;0.895;0.0
2024-03-11 07:00:00;-1.374;98.293;1.07;0.0
