Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;3.921;44.817;0.0;nan
2024-03-08 14:00:00;3.526;49.919;0.0;612.76
2024-03-08 15:00:00;3.145;48.645;0.0;496.642
2024-03-08 16:00:00;0.995;54.313;0.0;340.998
2024-03-08 17:00:00;-1.002;61.666;0.0;163.254
2024-03-08 18:00:00;-3.454;65.693;0.0;20.988
2024-03-08 19:00:00;-2.257;62.542;0.0;10.494
2024-03-08 20:00:00;-2.022;64.096;0.0;0.0
2024-03-08 21:00:00;-2.908;68.483;0.0;0.0
2024-03-08 22:00:00;-2.708;67.779;0.0;0.0
2024-03-08 23:00:00;-2.661;66.594;0.0;0.0
2024-03-09 00:00:00;-2.949;66.724;0.0;0.0
2024-03-09 01:00:00;-1.702;62.449;0.0;0.0
2024-03-09 02:00:00;-3.133;67.962;0.0;0.0
2024-03-09 03:00:00;-3.067;68.698;0.0;0.0
2024-03-09 04:00:00;-3.222;69.338;0.0;0.0
2024-03-09 05:00:00;-3.555;70.105;0.0;0.0
2024-03-09 06:00:00;-3.64;71.187;0.0;0.0
2024-03-09 07:00:00;-1.043;60.798;0.0;65.6935
2024-03-09 08:00:00;-1.209;64.715;0.0;131.387
2024-03-09 09:00:00;0.564;60.5;0.0;240.946
2024-03-09 10:00:00;2.136;56.886;0.0;311.047
2024-03-09 11:00:00;3.343;54.158;0.0;350.085
2024-03-09 12:00:00;4.597;50.025;0.0;365.598
2024-03-09 13:00:00;6.581;38.674;0.0;397.659
2024-03-09 14:00:00;5.412;45.029;0.0;429.72
2024-03-09 15:00:00;4.8;47.703;0.0;282.324
2024-03-09 16:00:00;3.829;50.346;0.0;146.945
2024-03-09 17:00:00;3.022;51.916;0.0;57.928
2024-03-09 18:00:00;2.156;54.979;0.0;6.716
2024-03-09 19:00:00;2.856;50.9;0.0;3.358
2024-03-09 20:00:00;1.337;61.998;0.057;0.0
2024-03-09 21:00:00;1.114;66.057;0.115;0.0
2024-03-09 22:00:00;0.262;85.769;0.703;0.0
2024-03-09 23:00:00;-0.313;96.728;1.449;0.0
2024-03-10 00:00:00;-0.086;95.806;3.184;0.0
2024-03-10 01:00:00;-0.119;94.216;1.43;0.0
2024-03-10 02:00:00;-0.201;95.412;1.441;0.0
2024-03-10 03:00:00;-0.283;96.608;1.451;0.0
2024-03-10 04:00:00;-0.364;96.629;1.462;0.0
2024-03-10 05:00:00;-0.575;96.15;2.627;0.0
2024-03-10 06:00:00;-0.843;96.015;5.938;0.0
2024-03-10 07:00:00;-0.9095;96.4495;4.4405;6.576333333333333
2024-03-10 08:00:00;-0.976;96.884;2.943;13.152666666666669
2024-03-10 09:00:00;-0.935;90.627;3.364;19.729
2024-03-10 10:00:00;-1.094;97.409;3.784;32.322
2024-03-10 11:00:00;-0.638;96.242;4.679;41.137
2024-03-10 12:00:00;-0.411;95.962;2.234;51.211
2024-03-10 13:00:00;0.002;96.136;1.576;67.644
2024-03-10 14:00:00;0.886;93.397;1.119;81.506
2024-03-10 15:00:00;0.687;97.113;0.682;95.368
2024-03-10 16:00:00;0.683;96.877;0.246;79.675
2024-03-10 17:00:00;-0.132;98.218;0.099;68.456
2024-03-10 18:00:00;-0.931;98.008;0.051;19.431
2024-03-10 19:00:00;-1.264;98.393;0.018;5.14
2024-03-10 20:00:00;-1.154;97.89;0.032;2.57
2024-03-10 21:00:00;-1.294;98.242;0.287;0.0
2024-03-10 22:00:00;-0.954;98.214;0.542;0.0
2024-03-10 23:00:00;-0.9;98.136;0.777;0.0
2024-03-11 00:00:00;-1.015;97.802;0.745;0.0
2024-03-11 01:00:00;-1.23;97.213;0.706;0.0
2024-03-11 02:00:00;-1.071;96.104;0.81;0.0
2024-03-11 03:00:00;-1.587;95.332;0.888;0.0
2024-03-11 04:00:00;-2.419;95.233;0.966;0.0
2024-03-11 05:00:00;-2.977;94.556;1.099;0.0
2024-03-11 06:00:00;-3.482;94.072;1.177;0.0
2024-03-11 07:00:00;-3.876;93.681;1.241;0.0
