Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;-7.64;77.748;nan;nan
2024-03-08 08:00:00;-7.123;78.963;nan;185.746
2024-03-08 09:00:00;-4.158;78.882;0.0;368.764
2024-03-08 10:00:00;-1.461;78.303;0.0;526.806
2024-03-08 11:00:00;-0.378;73.68;0.0;641.402
2024-03-08 12:00:00;0.323;69.943;0.0;701.009
2024-03-08 13:00:00;0.3;70.343;0.0;669.058
2024-03-08 14:00:00;0.036;67.766;0.0;637.107
2024-03-08 15:00:00;-0.929;67.552;0.0;520.988
2024-03-08 16:00:00;-2.964;68.863;0.0;359.468
2024-03-08 17:00:00;-3.712;61.873;0.0;173.328
2024-03-08 18:00:00;-5.509;68.899;0.0;26.025
2024-03-08 19:00:00;-4.434;63.141;0.0;13.0125
2024-03-08 20:00:00;-7.793;79.315;0.0;0.0
2024-03-08 21:00:00;-7.268;79.067;0.0;0.0
2024-03-08 22:00:00;-6.346;78.663;0.0;0.0
2024-03-08 23:00:00;-5.922;83.611;0.0;0.0
2024-03-09 00:00:00;-5.379;86.209;0.0;0.0
2024-03-09 01:00:00;-3.155;76.815;0.0;0.0
2024-03-09 02:00:00;-5.05;84.702;0.0;0.0
2024-03-09 03:00:00;-5.458;84.516;0.0;0.0
2024-03-09 04:00:00;-6.446;84.856;0.0;0.0
2024-03-09 05:00:00;-5.73;84.586;0.0;0.0
2024-03-09 06:00:00;-5.66;84.722;0.0;0.0
2024-03-09 07:00:00;-2.956;77.631;0.0;78.3915
2024-03-09 08:00:00;-3.951;82.378;0.0;156.783
2024-03-09 09:00:00;-1.182;79.592;0.0;261.304
2024-03-09 10:00:00;0.239;78.077;0.0;335.813
2024-03-09 11:00:00;1.19;78.784;0.0;436.557
2024-03-09 12:00:00;1.892;79.263;0.0;480.614
2024-03-09 13:00:00;2.79;71.901;0.0;497.2485
2024-03-09 14:00:00;3.246;75.213;0.0;513.883
2024-03-09 15:00:00;4.248;66.565;0.0;365.228
2024-03-09 16:00:00;4.121;63.466;0.005;163.736
2024-03-09 17:00:00;3.068;68.057;0.0;81.435
2024-03-09 18:00:00;2.636;68.375;0.027;14.272
2024-03-09 19:00:00;3.577;68.655;0.321;7.136
2024-03-09 20:00:00;1.481;86.301;1.057;0.0
2024-03-09 21:00:00;1.175;93.681;1.793;0.0
2024-03-09 22:00:00;0.951;96.329;2.196;0.0
2024-03-09 23:00:00;0.978;97.236;2.267;0.0
2024-03-10 00:00:00;0.701;98.62;2.366;0.0
2024-03-10 01:00:00;-0.165;98.551;2.577;0.0
2024-03-10 02:00:00;0.005;97.545;2.464;0.0
2024-03-10 03:00:00;0.175;96.539;2.351;0.0
2024-03-10 04:00:00;0.094;97.898;2.238;0.0
2024-03-10 05:00:00;0.095;98.502;1.673;0.0
2024-03-10 06:00:00;0.075;98.897;3.167;0.0
2024-03-10 07:00:00;0.2174999999999999;99.0205;4.9275;8.465333333333334
2024-03-10 08:00:00;0.36;99.144;6.688;16.930666666666667
2024-03-10 09:00:00;0.241;98.167;4.564;25.396
2024-03-10 10:00:00;0.304;96.786;2.44;53.52
2024-03-10 11:00:00;0.368;95.804;1.307;102.423
2024-03-10 12:00:00;0.445;94.232;0.431;173.783
2024-03-10 13:00:00;0.294;95.445;0.902;180.981
2024-03-10 14:00:00;0.821;95.334;0.668;176.37349999999998
2024-03-10 15:00:00;0.367;97.297;0.628;171.766
2024-03-10 16:00:00;0.345;97.615;0.588;152.714
2024-03-10 17:00:00;0.177;99.233;0.416;99.519
2024-03-10 18:00:00;-0.07;99.507;0.758;37.061
2024-03-10 19:00:00;-0.185;99.454;0.631;6.819
2024-03-10 20:00:00;0.607;97.705;0.218;3.4095
2024-03-10 21:00:00;0.127;97.781;0.149;0.0
2024-03-10 22:00:00;-0.565;97.753;0.08;0.0
2024-03-10 23:00:00;-1.038;98.251;0.173;0.0
2024-03-11 00:00:00;-1.385;97.918;0.167;0.0
2024-03-11 01:00:00;-1.143;94.999;0.043;0.0
2024-03-11 02:00:00;0.031;89.532;0.027;0.0
2024-03-11 03:00:00;-0.777;92.335;0.022;0.0
2024-03-11 04:00:00;-1.183;89.008;0.017;0.0
2024-03-11 05:00:00;-1.532;87.408;0.004;0.0
2024-03-11 06:00:00;-1.655;87.339;0.009;0.0
2024-03-11 07:00:00;-1.637;87.317;0.014;0.0
2024-03-11 08:00:00;-0.961;85.965;0.003;51.631
2024-03-11 09:00:00;-0.759;82.523;0.002;103.262
2024-03-11 10:00:00;-0.226;79.504;0.0;215.76
2024-03-11 11:00:00;0.388;76.173;0.0;373.592
2024-03-11 12:00:00;0.622;73.531;0.0;527.226
2024-03-11 13:00:00;0.952;71.399;0.0;522.541
2024-03-11 14:00:00;1.136;70.864;0.0;394.952
2024-03-11 15:00:00;0.364;70.203;0.001;267.363
2024-03-11 16:00:00;0.001;71.814;0.001;217.403
2024-03-11 17:00:00;-0.226;70.529;0.0;174.473
2024-03-11 18:00:00;-0.932;71.15;0.0;83.45
2024-03-11 19:00:00;-1.776;73.885;0.0;14.272
2024-03-11 20:00:00;-1.348;74.845;0.0;7.136
2024-03-11 21:00:00;-2.725;76.814;0.0;0.0
2024-03-11 22:00:00;-3.777;78.571;0.0;0.0
2024-03-11 23:00:00;-5.265;79.78;0.0;0.0
2024-03-12 00:00:00;-5.342;78.565;0.0;0.0
2024-03-12 01:00:00;-3.512;77.163;0.0;0.0
2024-03-12 02:00:00;-2.058;71.063;0.0;0.0
2024-03-12 03:00:00;-3.201;75.531;0.0;0.0
2024-03-12 04:00:00;-3.534;75.895;0.0;0.0
2024-03-12 05:00:00;-3.904;76.187;0.0;0.0
2024-03-12 06:00:00;-4.037;76.556;0.0;0.0
2024-03-12 07:00:00;-4.651;77.101;0.0;0.0
2024-03-12 08:00:00;-4.399;73.0;0.0;104.102
2024-03-12 09:00:00;-4.774;78.221;0.0;208.204
2024-03-12 10:00:00;-2.537;75.117;0.0;391.222
2024-03-12 11:00:00;-1.053;71.014;0.0;548.214
2024-03-12 12:00:00;0.104;68.411;0.0;659.872
2024-03-12 13:00:00;0.991;67.881;0.0;716.676
