Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;-7.154;68.985;nan;nan
2024-03-08 08:00:00;-4.915;60.631;nan;199.074
2024-03-08 09:00:00;-2.167;50.659;0.0;377.684
2024-03-08 10:00:00;-0.024;48.396;0.0;528.485
2024-03-08 11:00:00;2.089;44.418;0.0;633.427
2024-03-08 12:00:00;3.172;38.791;0.0;685.898
2024-03-08 13:00:00;3.284;37.808;0.0;649.329
2024-03-08 14:00:00;2.971;40.442;0.0;612.76
2024-03-08 15:00:00;2.135;49.083;0.0;495.802
2024-03-08 16:00:00;0.836;57.887;0.0;336.8
2024-03-08 17:00:00;-1.218;64.687;0.0;159.056
2024-03-08 18:00:00;-1.894;48.953;0.0;18.47
2024-03-08 19:00:00;-2.26;56.316;0.0;9.235
2024-03-08 20:00:00;-5.869;74.772;0.0;0.0
2024-03-08 21:00:00;-6.141;78.652;0.0;0.0
2024-03-08 22:00:00;-6.217;83.736;0.0;0.0
2024-03-08 23:00:00;-6.307;85.94;0.0;0.0
2024-03-09 00:00:00;-6.666;85.332;0.0;0.0
2024-03-09 01:00:00;-5.24;80.089;0.0;0.0
2024-03-09 02:00:00;-6.55;85.509;0.0;0.0
2024-03-09 03:00:00;-6.132;85.162;0.0;0.0
2024-03-09 04:00:00;-5.618;83.473;0.0;0.0
2024-03-09 05:00:00;-5.544;86.154;0.0;0.0
2024-03-09 06:00:00;-5.66;87.673;0.0;0.0
2024-03-09 07:00:00;-2.674;76.27;0.0;80.1755
2024-03-09 08:00:00;-1.239;72.878;0.0;160.351
2024-03-09 09:00:00;1.449;63.29;0.0;240.526
2024-03-09 10:00:00;3.068;54.995;0.0;314.405
2024-03-09 11:00:00;3.851;50.215;0.0;388.703
2024-03-09 12:00:00;4.15;47.443;0.0;370.635
2024-03-09 13:00:00;3.801714285714286;48.97785714285714;0.0;324.305625
2024-03-09 14:00:00;3.453428571428572;50.51271428571428;0.0;277.97625
2024-03-09 15:00:00;3.105142857142857;52.04757142857143;0.0;231.646875
2024-03-09 16:00:00;2.756857142857143;53.58242857142857;0.0;185.3175
2024-03-09 17:00:00;2.4085714285714284;55.117285714285714;0.0;138.988125
2024-03-09 18:00:00;2.060285714285714;56.652142857142856;0.0;92.65875
2024-03-09 19:00:00;1.712;58.187;0.0;46.32937500000003
2024-03-09 20:00:00;0.442;67.67;0.0;0.0
2024-03-09 21:00:00;0.388;70.461;0.0;0.0
2024-03-09 22:00:00;0.398;71.542;0.0;0.0
2024-03-09 23:00:00;-0.952;93.062;0.594;0.0
2024-03-10 00:00:00;-1.264;95.76;1.22;0.0
2024-03-10 01:00:00;-0.86;91.333;0.878;0.0
2024-03-10 02:00:00;-0.662;93.74;1.21;0.0
2024-03-10 03:00:00;-0.465;96.147;1.541;0.0
2024-03-10 04:00:00;-0.252;96.468;1.873;0.0
2024-03-10 05:00:00;-0.49;96.173;2.839;0.0
2024-03-10 06:00:00;-0.77;97.352;2.139;0.0
2024-03-10 07:00:00;-0.4705;93.175;1.088;5.107
2024-03-10 08:00:00;-0.171;88.998;0.037;10.214
2024-03-10 09:00:00;-0.302;90.627;1.511;15.321
2024-03-10 10:00:00;-0.169;97.271;2.985;37.989
2024-03-10 11:00:00;0.126;97.833;4.076;59.187
2024-03-10 12:00:00;0.507;96.561;1.228;88.151
2024-03-10 13:00:00;0.469;98.419;2.995;56.73
2024-03-10 14:00:00;1.299;97.801;0.731;50.024
2024-03-10 15:00:00;0.708;99.926;0.608;43.318
2024-03-10 16:00:00;0.675;99.782;0.484;28.043
2024-03-10 17:00:00;0.703;99.786;0.205;18.504
2024-03-10 18:00:00;0.539;99.829;0.049;15.233
2024-03-10 19:00:00;0.58;98.278;0.002;5.14
2024-03-10 20:00:00;0.439;96.137;0.007;2.57
2024-03-10 21:00:00;-0.624;97.112;0.085;0.0
2024-03-10 22:00:00;-0.511;96.439;0.163;0.0
2024-03-10 23:00:00;-0.211;96.683;0.195;0.0
2024-03-11 00:00:00;-0.187;98.01;0.335;0.0
2024-03-11 01:00:00;-0.307;97.835;0.387;0.0
2024-03-11 02:00:00;0.109;95.481;0.23;0.0
2024-03-11 03:00:00;-0.339;97.753;0.238;0.0
2024-03-11 04:00:00;-0.35;95.256;0.247;0.0
2024-03-11 05:00:00;-1.064;92.965;0.126;0.0
2024-03-11 06:00:00;-1.76;91.835;0.195;0.0
2024-03-11 07:00:00;-2.223;90.015;0.175;0.0
2024-03-11 08:00:00;-2.165;90.553;0.153;22.5625
2024-03-11 09:00:00;-1.743;91.608;0.135;45.125
2024-03-11 10:00:00;-0.835;88.681;0.118;61.915
2024-03-11 11:00:00;-0.434;82.583;0.013;92.768
2024-03-11 12:00:00;-0.579;82.247;0.016;101.583
2024-03-11 13:00:00;-0.516;80.323;0.013;96.059
2024-03-11 14:00:00;-0.282;77.32;0.031;94.19
2024-03-11 15:00:00;0.122;75.506;0.016;92.321
2024-03-11 16:00:00;-0.26;73.566;0.002;120.437
2024-03-11 17:00:00;-0.866;71.959;0.001;95.557
2024-03-11 18:00:00;-1.981;76.592;0.01;26.362
2024-03-11 19:00:00;-2.214;73.931;0.032;2.519
2024-03-11 20:00:00;-2.312;78.857;0.072;1.2595
2024-03-11 21:00:00;-2.976;77.275;0.072;0.0
2024-03-11 22:00:00;-3.141;77.05;0.072;0.0
2024-03-11 23:00:00;-3.347;76.828;0.06;0.0
2024-03-12 00:00:00;-3.584;77.873;0.069;0.0
2024-03-12 01:00:00;-4.007;77.717;0.049;0.0
2024-03-12 02:00:00;-3.323;76.112;0.035;0.0
2024-03-12 03:00:00;-3.814;76.477;0.031;0.0
2024-03-12 04:00:00;-3.913;77.763;0.027;0.0
2024-03-12 05:00:00;-4.111;76.21;0.015;0.0
2024-03-12 06:00:00;-4.339;75.588;0.001;0.0
2024-03-12 07:00:00;-4.525;75.348;0.0;0.0
2024-03-12 08:00:00;-3.657;72.009;0.0;109.664
2024-03-12 09:00:00;-3.024;67.683;0.0;219.328
2024-03-12 10:00:00;-1.532;62.504;0.0;396.889
2024-03-12 11:00:00;-0.376;59.301;0.0;544.856
2024-03-12 12:00:00;0.623;56.766;0.0;650.637
2024-03-12 13:00:00;1.481;55.637;0.0;678.897
