Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;6.541;40.367;0.0;nan
2024-03-08 14:00:00;7.388;37.882;0.0;622.625
2024-03-08 15:00:00;7.512;38.407;0.0;510.284
2024-03-08 16:00:00;7.078;40.432;0.0;353.591
2024-03-08 17:00:00;5.946;45.986;0.0;176.686
2024-03-08 18:00:00;3.385;54.141;0.0;28.544
2024-03-08 19:00:00;2.98;59.775;0.0;14.272
2024-03-08 20:00:00;-1.04;78.738;0.0;0.0
2024-03-08 21:00:00;-1.781;76.876;0.0;0.0
2024-03-08 22:00:00;-2.0;67.641;0.0;0.0
2024-03-08 23:00:00;-2.346;75.195;0.0;0.0
2024-03-09 00:00:00;-1.368;79.337;0.0;0.0
2024-03-09 01:00:00;0.866;66.807;0.0;0.0
2024-03-09 02:00:00;-0.064;69.945;0.0;0.0
2024-03-09 03:00:00;-0.259;73.702;0.0;0.0
2024-03-09 04:00:00;-0.143;72.359;0.0;0.0
2024-03-09 05:00:00;0.087;70.267;0.0;0.0
2024-03-09 06:00:00;0.491;66.944;0.0;0.0
2024-03-09 07:00:00;3.493;55.264;0.0;56.3535
2024-03-09 08:00:00;2.47;58.213;0.0;112.707
2024-03-09 09:00:00;3.986;54.413;0.0;175.672
2024-03-09 10:00:00;5.638;50.176;0.0;268.23
2024-03-09 11:00:00;6.592;48.278;0.0;397.099
2024-03-09 12:00:00;7.234;46.751;0.0;383.228
2024-03-09 13:00:00;8.182;37.913;0.0;374.5715
2024-03-09 14:00:00;7.406;42.724;0.164;365.915
2024-03-09 15:00:00;5.62;63.175;0.329;92.17
2024-03-09 16:00:00;5.229;59.73;0.066;72.646
2024-03-09 17:00:00;4.381;74.444;0.208;20.988
2024-03-09 18:00:00;2.669;91.203;1.419;4.198
2024-03-09 19:00:00;2.919;86.641;2.734;2.099
2024-03-09 20:00:00;2.415;95.202;2.351;0.0
2024-03-09 21:00:00;2.6;95.964;1.969;0.0
2024-03-09 22:00:00;2.661;96.099;2.134;0.0
2024-03-09 23:00:00;2.654;95.529;1.196;0.0
2024-03-10 00:00:00;2.499;96.429;0.736;0.0
2024-03-10 01:00:00;2.449;94.7;1.965;0.0
2024-03-10 02:00:00;2.139;95.861;1.8;0.0
2024-03-10 03:00:00;1.829;97.023;1.636;0.0
2024-03-10 04:00:00;1.588;97.021;1.471;0.0
2024-03-10 05:00:00;1.062;98.594;2.451;0.0
2024-03-10 06:00:00;0.156;99.935;6.322;0.0
2024-03-10 07:00:00;0.3259999999999999;99.4355;3.575;7.485666666666667
2024-03-10 08:00:00;0.496;98.936;0.828;14.971333333333334
2024-03-10 09:00:00;0.443;99.551;1.116;22.457
2024-03-10 10:00:00;0.419;99.876;1.403;31.692
2024-03-10 11:00:00;0.688;99.424;0.755;65.903
2024-03-10 12:00:00;1.066;98.175;0.192;85.632
2024-03-10 13:00:00;1.47;97.635;0.097;112.139
2024-03-10 14:00:00;2.014;95.104;0.253;79.722
2024-03-10 15:00:00;1.131;98.473;0.205;47.305
2024-03-10 16:00:00;1.25;98.099;0.157;75.687
2024-03-10 17:00:00;1.01;98.195;0.183;52.505
2024-03-10 18:00:00;0.302;98.63;0.139;13.554
2024-03-10 19:00:00;0.011;99.015;0.039;1.782
2024-03-10 20:00:00;0.551;98.95;0.072;0.891
2024-03-10 21:00:00;0.009;99.764;0.237;0.0
2024-03-10 22:00:00;-0.39;98.814;0.401;0.0
2024-03-10 23:00:00;-0.378;98.689;0.762;0.0
2024-03-11 00:00:00;-0.463;97.226;0.627;0.0
2024-03-11 01:00:00;-1.43;95.437;0.436;0.0
2024-03-11 02:00:00;-1.334;92.876;0.571;0.0
2024-03-11 03:00:00;-2.847;94.387;0.554;0.0
2024-03-11 04:00:00;-3.247;93.25;0.536;0.0
2024-03-11 05:00:00;-3.411;93.381;0.593;0.0
2024-03-11 06:00:00;-3.635;92.942;0.615;0.0
2024-03-11 07:00:00;-3.917;92.252;0.567;0.0
2024-03-11 08:00:00;-3.43;90.115;0.633;23.087
2024-03-11 09:00:00;-3.441;89.095;0.384;46.174
2024-03-11 10:00:00;-2.32;81.763;0.135;121.312
2024-03-11 11:00:00;-1.402;76.496;0.054;170.845
2024-03-11 12:00:00;-0.701;71.502;0.021;238.427
2024-03-11 13:00:00;-0.168;69.67;0.017;297.547
2024-03-11 14:00:00;1.352;63.577;0.014;256.84950000000003
2024-03-11 15:00:00;0.501;64.438;0.01;216.152
2024-03-11 16:00:00;0.4;65.45;0.005;172.908
2024-03-11 17:00:00;0.349;68.269;0.007;100.594
2024-03-11 18:00:00;0.105;70.827;0.002;44.832
2024-03-11 19:00:00;-0.093;71.764;0.0;10.914
2024-03-11 20:00:00;0.674;62.486;0.0;5.457
2024-03-11 21:00:00;-1.956;72.34;0.0;0.0
2024-03-11 22:00:00;-2.632;73.637;0.0;0.0
2024-03-11 23:00:00;-3.213;73.023;0.0;0.0
2024-03-12 00:00:00;-3.569;72.801;0.0;0.0
2024-03-12 01:00:00;-4.003;73.912;0.0;0.0
2024-03-12 02:00:00;-2.34;65.137;0.0;0.0
2024-03-12 03:00:00;-4.657;76.961;0.0;0.0
