Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;5.13;59.598;0.0;nan
2024-03-08 14:00:00;5.649;56.744;0.0;631.65
2024-03-08 15:00:00;5.839;55.608;0.0;517.63
2024-03-08 16:00:00;5.602;56.573;0.0;363.246
2024-03-08 17:00:00;3.824;64.825;0.0;182.563
2024-03-08 18:00:00;1.393;76.116;0.0;30.223
2024-03-08 19:00:00;1.927;60.236;0.0;15.1115
2024-03-08 20:00:00;-1.08;70.829;0.0;0.0
2024-03-08 21:00:00;-2.188;69.59;0.0;0.0
2024-03-08 22:00:00;-2.509;69.462;0.0;0.0
2024-03-08 23:00:00;-2.547;71.252;0.0;0.0
2024-03-09 00:00:00;-2.606;80.398;0.0;0.0
2024-03-09 01:00:00;-1.362;79.19;0.0;0.0
2024-03-09 02:00:00;-2.12;74.303;0.0;0.0
2024-03-09 03:00:00;-2.428;78.682;0.0;0.0
2024-03-09 04:00:00;-2.861;83.173;0.0;0.0
2024-03-09 05:00:00;-1.785;77.853;0.0;0.0
2024-03-09 06:00:00;-0.482;69.803;0.0;0.0
2024-03-09 07:00:00;3.827;48.531;0.0;55.199
2024-03-09 08:00:00;1.168;62.571;0.0;110.398
2024-03-09 09:00:00;2.858;56.995;0.0;190.154
2024-03-09 10:00:00;4.946;51.306;0.0;338.331
2024-03-09 11:00:00;5.753;50.815;0.0;350.924
2024-03-09 12:00:00;5.433;52.031;0.0;283.324
2024-03-09 13:00:00;7.192;39.389;0.001;208.3445
2024-03-09 14:00:00;3.295;80.701;0.075;133.365
2024-03-09 15:00:00;3.731;62.46;0.149;61.947
2024-03-09 16:00:00;2.863;83.942;0.503;41.584
2024-03-09 17:00:00;2.195;88.464;1.266;13.433
2024-03-09 18:00:00;2.178;91.088;1.553;1.679
2024-03-09 19:00:00;2.842;89.408;2.306;0.8395
2024-03-09 20:00:00;1.712;96.078;1.845;0.0
2024-03-09 21:00:00;2.396;95.918;1.384;0.0
2024-03-09 22:00:00;2.545;95.384;1.421;0.0
2024-03-09 23:00:00;2.484;95.322;0.371;0.0
2024-03-10 00:00:00;2.462;96.106;0.425;0.0
2024-03-10 01:00:00;2.721;94.147;1.21;0.0
2024-03-10 02:00:00;1.917;95.573;1.619;0.0
2024-03-10 03:00:00;1.112;97.0;2.028;0.0
2024-03-10 04:00:00;1.371;97.736;2.437;0.0
2024-03-10 05:00:00;0.465;99.978;3.797;0.0
2024-03-10 06:00:00;0.233;99.843;4.311;0.0
2024-03-10 07:00:00;0.3755;99.5625;2.289;5.1770000000000005
2024-03-10 08:00:00;0.518;99.282;0.267;10.354
2024-03-10 09:00:00;0.229;99.781;0.318;15.531
2024-03-10 10:00:00;0.37;99.738;0.369;30.643
2024-03-10 11:00:00;0.568;99.609;0.104;46.174
2024-03-10 12:00:00;0.801;98.982;0.034;52.051
2024-03-10 13:00:00;1.169;98.903;0.02;85.274
2024-03-10 14:00:00;1.678;97.133;0.018;97.3525
2024-03-10 15:00:00;1.495;96.836;0.009;109.431
2024-03-10 16:00:00;0.954;98.376;0.001;59.736
2024-03-10 17:00:00;0.583;99.094;0.011;23.961
2024-03-10 18:00:00;0.49;99.806;0.31;11.036
2024-03-10 19:00:00;-0.374;99.592;0.829;1.782
2024-03-10 20:00:00;-0.534;98.166;0.284;0.891
2024-03-10 21:00:00;-1.855;96.789;0.305;0.0
2024-03-10 22:00:00;-2.305;96.001;0.326;0.0
2024-03-10 23:00:00;-2.547;95.761;0.519;0.0
2024-03-11 00:00:00;-2.943;94.828;0.454;0.0
2024-03-11 01:00:00;-3.524;92.924;0.357;0.0
2024-03-11 02:00:00;-3.246;92.299;0.247;0.0
2024-03-11 03:00:00;-4.327;89.337;0.196;0.0
2024-03-11 04:00:00;-4.436;85.641;0.145;0.0
2024-03-11 05:00:00;-4.6;88.861;0.114;0.0
2024-03-11 06:00:00;-4.772;89.414;0.27;0.0
2024-03-11 07:00:00;-4.907;89.139;0.364;0.0
