Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;6.528;37.254;0.0;nan
2024-03-08 14:00:00;7.527;36.291;0.0;636.477
2024-03-08 15:00:00;7.751;37.461;0.0;519.939
2024-03-08 16:00:00;7.515;40.04;0.0;359.468
2024-03-08 17:00:00;6.666;44.395;0.0;176.686
2024-03-08 18:00:00;4.267;54.971;0.0;26.026
2024-03-08 19:00:00;2.988;70.105;0.0;13.013
2024-03-08 20:00:00;2.794;61.929;0.0;0.0
2024-03-08 21:00:00;1.164;61.565;0.0;0.0
2024-03-08 22:00:00;1.826;53.875;0.0;0.0
2024-03-08 23:00:00;1.643;58.339;0.0;0.0
2024-03-09 00:00:00;1.227;65.94;0.0;0.0
2024-03-09 01:00:00;2.12;60.12;0.0;0.0
2024-03-09 02:00:00;0.887;63.627;0.0;0.0
2024-03-09 03:00:00;0.404;63.418;0.0;0.0
2024-03-09 04:00:00;0.055;63.574;0.0;0.0
2024-03-09 05:00:00;-0.51;64.133;0.0;0.0
2024-03-09 06:00:00;-1.063;66.252;0.0;0.0
2024-03-09 07:00:00;2.01;50.076;0.0;68.002
2024-03-09 08:00:00;1.021;59.112;0.0;136.004
2024-03-09 09:00:00;1.943;57.387;0.0;169.166
2024-03-09 10:00:00;2.834;56.079;0.0;238.007
2024-03-09 11:00:00;3.878;53.42;0.0;333.294
2024-03-09 12:00:00;4.069;53.968;0.0;252.261
2024-03-09 13:00:00;6.009;46.03;0.0;205.196
2024-03-09 14:00:00;5.221;47.404;0.002;158.131
2024-03-09 15:00:00;4.689;52.545;0.003;117.356
2024-03-09 16:00:00;3.987;54.681;0.006;61.313
2024-03-09 17:00:00;3.332;58.05;0.0;24.346
2024-03-09 18:00:00;2.999;59.913;0.007;3.358
2024-03-09 19:00:00;2.447;74.697;0.877;1.679
2024-03-09 20:00:00;0.684;92.389;1.003;0.0
2024-03-09 21:00:00;0.433;94.88;1.129;0.0
2024-03-09 22:00:00;0.634;94.807;1.025;0.0
2024-03-09 23:00:00;0.85;94.492;0.679;0.0
2024-03-10 00:00:00;0.904;94.584;0.152;0.0
2024-03-10 01:00:00;0.532;90.803;0.191;0.0
2024-03-10 02:00:00;0.521;92.806;0.999;0.0
2024-03-10 03:00:00;0.509;94.809;1.807;0.0
2024-03-10 04:00:00;0.758;94.877;2.615;0.0
2024-03-10 05:00:00;-0.177;95.066;3.117;0.0
2024-03-10 06:00:00;-0.043;95.761;0.918;0.0
2024-03-10 07:00:00;-0.1335;95.85;2.6115;3.568
2024-03-10 08:00:00;-0.224;95.939;4.305;7.136
2024-03-10 09:00:00;-0.386;99.366;3.113;10.704
2024-03-10 10:00:00;-0.203;99.507;1.921;35.47
2024-03-10 11:00:00;-0.043;99.471;0.365;52.051
2024-03-10 12:00:00;0.275;99.051;0.07;78.916
2024-03-10 13:00:00;0.603;99.019;0.095;107.102
2024-03-10 14:00:00;1.83;92.29;0.037;117.816
2024-03-10 15:00:00;1.962;89.573;0.021;128.53
2024-03-10 16:00:00;2.185;83.964;0.005;103.181
2024-03-10 17:00:00;1.275;91.877;0.134;30.257
2024-03-10 18:00:00;0.332;96.855;0.573;21.949
2024-03-10 19:00:00;-0.163;96.133;0.411;2.621
2024-03-10 20:00:00;-0.092;91.526;0.186;1.3105
2024-03-10 21:00:00;-1.549;89.457;0.116;0.0
2024-03-10 22:00:00;-2.255;86.362;0.045;0.0
2024-03-10 23:00:00;-2.884;83.978;0.053;0.0
2024-03-11 00:00:00;-3.341;82.607;0.016;0.0
2024-03-11 01:00:00;-3.841;83.539;0.028;0.0
2024-03-11 02:00:00;-3.601;79.709;0.025;0.0
2024-03-11 03:00:00;-4.791;83.019;0.035;0.0
2024-03-11 04:00:00;-5.179;82.713;0.045;0.0
2024-03-11 05:00:00;-5.427;82.658;0.041;0.0
2024-03-11 06:00:00;-5.605;82.566;0.039;0.0
2024-03-11 07:00:00;-5.751;83.466;0.051;0.0
2024-03-11 08:00:00;-5.239;81.791;0.065;15.1115
2024-03-11 09:00:00;-5.473;82.846;0.064;30.223
2024-03-11 10:00:00;-4.976;81.879;0.062;62.545
2024-03-11 11:00:00;-4.456;80.9;0.058;84.373
2024-03-11 12:00:00;-3.911;79.203;0.034;94.028
2024-03-11 13:00:00;-3.649;78.94;0.029;84.306
2024-03-11 14:00:00;-2.905;77.113;0.029;106.783
2024-03-11 15:00:00;-2.496;78.158;0.04;129.26
2024-03-11 16:00:00;-2.549;80.23;0.051;100.708
2024-03-11 17:00:00;-2.35;84.364;0.12;85.902
2024-03-11 18:00:00;-2.346;86.738;0.217;28.041
2024-03-11 19:00:00;-1.659;73.977;0.087;5.037
2024-03-11 20:00:00;-0.276;58.681;0.001;2.5185
2024-03-11 21:00:00;-0.974;62.61;0.0;0.0
2024-03-11 22:00:00;-1.175;57.934;0.0;0.0
2024-03-11 23:00:00;-2.139;59.188;0.0;0.0
2024-03-12 00:00:00;-2.774;63.024;0.0;0.0
2024-03-12 01:00:00;-3.329;66.626;0.0;0.0
2024-03-12 02:00:00;-2.139;55.475;0.0;0.0
2024-03-12 03:00:00;-4.109;68.729;0.0;0.0
