Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;-1.884;75.511;nan;nan
2024-03-08 08:00:00;-1.621;72.76;nan;165.388
2024-03-08 09:00:00;1.207;62.465;0.0;349.245
2024-03-08 10:00:00;3.525;55.337;0.0;511.275
2024-03-08 11:00:00;5.35;48.846;0.0;629.649
2024-03-08 12:00:00;6.789;44.463;0.0;695.972
2024-03-08 13:00:00;7.343;38.269;0.0;669.373
2024-03-08 14:00:00;7.779;40.188;0.0;642.774
2024-03-08 15:00:00;7.819;42.903;0.0;535.05
2024-03-08 16:00:00;7.386;43.176;0.0;371.641
2024-03-08 17:00:00;6.499;46.194;0.0;184.242
2024-03-08 18:00:00;4.895;56.632;0.0;36.939
2024-03-08 19:00:00;4.481;64.986;0.0;18.4695
2024-03-08 20:00:00;3.072;67.693;0.0;0.0
2024-03-08 21:00:00;2.578;69.151;0.0;0.0
2024-03-08 22:00:00;1.749;76.449;0.0;0.0
2024-03-08 23:00:00;1.798;62.075;0.0;0.0
2024-03-09 00:00:00;2.072;58.262;0.0;0.0
2024-03-09 01:00:00;2.581;63.049;0.0;0.0
2024-03-09 02:00:00;1.631;65.402;0.0;0.0
2024-03-09 03:00:00;1.247;66.876;0.0;0.0
2024-03-09 04:00:00;1.064;69.407;0.0;0.0
2024-03-09 05:00:00;1.205;69.944;0.0;0.0
2024-03-09 06:00:00;1.066;73.746;0.0;0.0
2024-03-09 07:00:00;4.442;55.656;0.0;28.964
2024-03-09 08:00:00;2.681;63.216;0.0;57.928
2024-03-09 09:00:00;4.23;52.291;0.0;147.338
2024-03-09 10:00:00;5.259;43.812;0.0;238.007
2024-03-09 11:00:00;4.59;43.367;0.008;138.523
2024-03-09 12:00:00;4.061;48.849;0.021;85.194
2024-03-09 13:00:00;5.097;43.101;0.144;57.0185
2024-03-09 14:00:00;3.582;54.668;0.138;28.843
2024-03-09 15:00:00;3.438;61.492;0.132;28.366
2024-03-09 16:00:00;3.134;87.516;0.608;20.176
2024-03-09 17:00:00;2.51;93.905;2.651;18.47
2024-03-09 18:00:00;2.49;94.155;1.343;1.679
2024-03-09 19:00:00;3.967;84.681;0.417;0.8395
2024-03-09 20:00:00;2.399;93.911;0.518;0.0
2024-03-09 21:00:00;2.497;94.004;0.619;0.0
2024-03-09 22:00:00;2.532;90.449;0.141;0.0
2024-03-09 23:00:00;2.859;87.897;0.035;0.0
2024-03-10 00:00:00;2.501;94.192;0.205;0.0
2024-03-10 01:00:00;2.939;90.803;0.827;0.0
2024-03-10 02:00:00;2.45;93.06;3.166;0.0
2024-03-10 03:00:00;1.96;95.317;5.504;0.0
2024-03-10 04:00:00;0.972;98.682;7.843;0.0
2024-03-10 05:00:00;1.257;97.234;1.812;0.0
2024-03-10 06:00:00;1.273;96.246;0.206;0.0
2024-03-10 07:00:00;1.322;95.02;0.1634999999999999;10.284333333333334
2024-03-10 08:00:00;1.371;93.794;0.121;20.56866666666667
2024-03-10 09:00:00;0.948;97.429;0.194;30.853
2024-03-10 10:00:00;1.146;98.4;0.266;56.459
2024-03-10 11:00:00;1.557;99.171;0.323;81.435
2024-03-10 12:00:00;1.749;99.236;0.432;88.151
2024-03-10 13:00:00;1.653;99.065;0.721;77.718
2024-03-10 14:00:00;1.931;93.489;0.953;76.6785
2024-03-10 15:00:00;0.246;94.669;0.793;75.639
2024-03-10 16:00:00;-0.543;91.389;0.633;84.712
2024-03-10 17:00:00;-1.358;90.563;0.607;61.32
2024-03-10 18:00:00;-2.279;90.076;0.625;31.184
2024-03-10 19:00:00;-2.987;90.069;0.636;6.819
2024-03-10 20:00:00;-2.639;87.975;0.812;3.4095
2024-03-10 21:00:00;-3.639;89.388;0.88;0.0
2024-03-10 22:00:00;-3.888;90.674;0.948;0.0
2024-03-10 23:00:00;-4.213;90.135;1.233;0.0
2024-03-11 00:00:00;-4.605;89.801;1.386;0.0
2024-03-11 01:00:00;-4.903;89.534;1.457;0.0
2024-03-11 02:00:00;-4.397;89.994;1.446;0.0
2024-03-11 03:00:00;-4.946;86.87;0.988;0.0
2024-03-11 04:00:00;-4.849;84.903;0.531;0.0
2024-03-11 05:00:00;-4.659;82.382;0.336;0.0
2024-03-11 06:00:00;-4.351;77.147;0.126;0.0
2024-03-11 07:00:00;-4.185;76.019;0.054;0.0
