Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;4.485;45.486;0.0;nan
2024-03-08 14:00:00;3.971;49.734;0.0;647.391
2024-03-08 15:00:00;3.233;51.804;0.0;522.457
2024-03-08 16:00:00;1.61;56.434;0.0;389.691
2024-03-08 17:00:00;0.85;60.029;0.0;218.663
2024-03-08 18:00:00;-0.828;67.838;0.0;51.212
2024-03-08 19:00:00;-2.93;72.411;0.0;25.606
2024-03-08 20:00:00;-5.928;72.19;0.0;0.0
2024-03-08 21:00:00;-7.016;80.75;0.0;0.0
2024-03-08 22:00:00;-6.173;86.111;0.0;0.0
2024-03-08 23:00:00;-4.907;87.508;0.0;0.0
2024-03-09 00:00:00;-4.089;87.73;0.0;0.0
2024-03-09 01:00:00;-3.175;86.338;0.0;0.0
2024-03-09 02:00:00;-4.209;87.539;0.0;0.0
2024-03-09 03:00:00;-4.006;88.252;0.0;0.0
2024-03-09 04:00:00;-3.47;89.053;0.001;0.0
2024-03-09 05:00:00;-3.284;89.451;0.001;0.0
2024-03-09 06:00:00;-2.848;89.241;0.0;0.0
2024-03-09 07:00:00;-1.619;81.551;0.0;38.5135
2024-03-09 08:00:00;-0.997;79.334;0.008;77.027
2024-03-09 09:00:00;-0.464;78.67;0.017;61.915
2024-03-09 10:00:00;0.582;75.794;0.004;103.682
2024-03-09 11:00:00;0.951;77.378;0.014;71.36
2024-03-09 12:00:00;1.667;86.435;0.187;99.466
2024-03-09 13:00:00;3.147;89.656;1.035;108.02
2024-03-09 14:00:00;1.442;95.504;1.94;116.574
2024-03-09 15:00:00;1.861;95.618;2.845;83.355
2024-03-09 16:00:00;2.812;96.601;0.869;62.992
2024-03-09 17:00:00;3.274;97.641;0.232;29.384
2024-03-09 18:00:00;3.637;98.328;0.611;10.074
2024-03-09 19:00:00;4.044;99.992;0.714;5.037
2024-03-09 20:00:00;1.385;99.998;0.467;0.0
2024-03-09 21:00:00;1.844;99.976;0.22;0.0
2024-03-09 22:00:00;2.587;98.958;0.039;0.0
2024-03-09 23:00:00;2.658;99.288;0.024;0.0
2024-03-10 00:00:00;2.747;99.334;0.092;0.0
2024-03-10 01:00:00;3.263;100.003;0.341;0.0
2024-03-10 02:00:00;2.178;99.966;0.463;0.0
2024-03-10 03:00:00;1.093;99.928;0.585;0.0
2024-03-10 04:00:00;0.682;99.973;0.707;0.0
2024-03-10 05:00:00;0.844;99.931;0.748;0.0
2024-03-10 06:00:00;1.147;99.797;1.147;0.0
2024-03-10 07:00:00;1.1915;99.8855;0.986;2.1686666666666667
2024-03-10 08:00:00;1.236;99.974;0.825;4.3373333333333335
2024-03-10 09:00:00;-1.13;98.029;0.446;6.506
2024-03-10 10:00:00;-2.348;95.864;0.067;38.828
2024-03-10 11:00:00;-3.009;94.052;0.026;61.286
2024-03-10 12:00:00;-3.545;91.811;0.114;57.088
2024-03-10 13:00:00;-3.696;87.259;0.381;69.323
2024-03-10 14:00:00;-2.923;86.065;0.263;64.191
2024-03-10 15:00:00;-3.575;75.692;0.133;59.059
2024-03-10 16:00:00;-3.333;72.412;0.002;55.538
2024-03-10 17:00:00;-3.157;71.516;0.018;33.196
2024-03-10 18:00:00;-3.069;70.637;0.007;21.95
2024-03-10 19:00:00;-3.397;70.331;0.002;11.017
2024-03-10 20:00:00;-4.262;76.676;0.001;5.5085
2024-03-10 21:00:00;-4.612;71.056;0.001;0.0
2024-03-10 22:00:00;-4.933;71.305;0.0;0.0
2024-03-10 23:00:00;-5.219;75.17;0.016;0.0
2024-03-11 00:00:00;-5.478;81.823;0.147;0.0
2024-03-11 01:00:00;-5.261;79.481;0.161;0.0
2024-03-11 02:00:00;-4.33;79.548;0.17;0.0
2024-03-11 03:00:00;-4.369;75.848;0.093;0.0
2024-03-11 04:00:00;-3.888;72.751;0.015;0.0
2024-03-11 05:00:00;-3.787;70.968;0.004;0.0
2024-03-11 06:00:00;-3.975;70.253;0.0;0.0
2024-03-11 07:00:00;-4.167;70.715;0.0;0.0
