Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;5.805;62.895;0.0;nan
2024-03-08 14:00:00;6.331;62.371;0.0;633.119
2024-03-08 15:00:00;6.515;61.465;0.0;519.519
2024-03-08 16:00:00;6.339;62.914;0.0;366.604
2024-03-08 17:00:00;5.567;68.007;0.0;184.242
2024-03-08 18:00:00;3.537;74.041;0.0;31.902
2024-03-08 19:00:00;2.855;73.564;0.0;15.951
2024-03-08 20:00:00;0.628;78.9;0.0;0.0
2024-03-08 21:00:00;-0.049;81.234;0.0;0.0
2024-03-08 22:00:00;-0.549;78.801;0.0;0.0
2024-03-08 23:00:00;-1.111;76.948;0.0;0.0
2024-03-09 00:00:00;-0.896;80.997;0.0;0.0
2024-03-09 01:00:00;0.475;78.751;0.0;0.0
2024-03-09 02:00:00;-0.139;75.94;0.0;0.0
2024-03-09 03:00:00;-0.039;76.377;0.0;0.0
2024-03-09 04:00:00;-0.002;79.023;0.0;0.0
2024-03-09 05:00:00;0.532;78.429;0.0;0.0
2024-03-09 06:00:00;0.881;76.767;0.0;0.0
2024-03-09 07:00:00;4.366;54.872;0.0;53.415
2024-03-09 08:00:00;1.92;74.146;0.0;106.83
2024-03-09 09:00:00;3.272;71.937;0.0;185.746
2024-03-09 10:00:00;4.471;69.153;0.0;258.996
2024-03-09 11:00:00;5.166;69.123;0.0;363.517
2024-03-09 12:00:00;4.881;69.118;0.0;223.717
2024-03-09 13:00:00;6.351;55.253;0.094;143.3855
2024-03-09 14:00:00;3.935;80.862;0.09;63.054
2024-03-09 15:00:00;3.785;78.739;0.086;34.453
2024-03-09 16:00:00;3.259;85.625;0.861;27.732
2024-03-09 17:00:00;2.842;88.717;1.187;9.235
2024-03-09 18:00:00;2.672;92.033;2.067;1.679
2024-03-09 19:00:00;2.958;90.63;3.753;0.8395
2024-03-09 20:00:00;1.45;97.369;2.897;0.0
2024-03-09 21:00:00;2.308;96.171;2.041;0.0
2024-03-09 22:00:00;2.645;94.992;2.08;0.0
2024-03-09 23:00:00;2.679;94.699;0.693;0.0
2024-03-10 00:00:00;2.617;95.069;0.829;0.0
2024-03-10 01:00:00;3.246;92.786;1.233;0.0
2024-03-10 02:00:00;2.827;94.397;1.441;0.0
2024-03-10 03:00:00;2.407;96.008;1.649;0.0
2024-03-10 04:00:00;2.328;96.722;1.858;0.0
2024-03-10 05:00:00;0.321;99.978;5.632;0.0
2024-03-10 06:00:00;0.081;99.773;2.497;0.0
2024-03-10 07:00:00;0.2965;99.2165;1.615;12.453
2024-03-10 08:00:00;0.512;98.66;0.733;24.906
2024-03-10 09:00:00;0.257;99.712;0.414;37.359
2024-03-10 10:00:00;0.537;99.092;0.094;61.286
2024-03-10 11:00:00;1.094;98.548;0.033;97.805
2024-03-10 12:00:00;1.621;98.037;0.01;127.609
2024-03-10 13:00:00;1.838;97.451;0.017;132.288
2024-03-10 14:00:00;2.546;94.85;0.009;105.538
2024-03-10 15:00:00;1.807;96.306;0.009;78.788
2024-03-10 16:00:00;1.356;97.776;0.01;48.402
2024-03-10 17:00:00;1.172;97.964;0.053;49.147
2024-03-10 18:00:00;0.183;96.763;0.403;25.308
2024-03-10 19:00:00;-0.72;96.202;0.481;2.621
2024-03-10 20:00:00;-0.545;95.861;0.377;1.3105
2024-03-10 21:00:00;-1.95;95.106;0.342;0.0
2024-03-10 22:00:00;-2.367;94.617;0.308;0.0
2024-03-10 23:00:00;-2.788;94.101;0.425;0.0
2024-03-11 00:00:00;-3.372;93.329;0.416;0.0
2024-03-11 01:00:00;-3.942;92.001;0.396;0.0
2024-03-11 02:00:00;-3.406;91.631;0.275;0.0
2024-03-11 03:00:00;-4.286;88.53;0.173;0.0
2024-03-11 04:00:00;-4.299;85.71;0.071;0.0
2024-03-11 05:00:00;-4.489;88.561;0.182;0.0
2024-03-11 06:00:00;-4.566;87.385;0.261;0.0
2024-03-11 07:00:00;-4.569;86.164;0.204;0.0
