Date;AIRTEMP [C];HR [percent];RAIN [mm];GLOBALRAD [Wm2]
2024-03-08 07:00:00;nan;nan;nan;nan
2024-03-08 08:00:00;nan;nan;nan;nan
2024-03-08 09:00:00;nan;nan;nan;nan
2024-03-08 10:00:00;nan;nan;nan;nan
2024-03-08 11:00:00;nan;nan;nan;nan
2024-03-08 12:00:00;nan;nan;nan;nan
2024-03-08 13:00:00;4.571;47.239;0.0;nan
2024-03-08 14:00:00;4.585;48.305;0.0;635.218
2024-03-08 15:00:00;4.351;51.089;0.0;530.853
2024-03-08 16:00:00;3.255;57.633;0.0;374.16
2024-03-08 17:00:00;1.144;68.745;0.0;184.242
2024-03-08 18:00:00;-0.489;77.546;0.0;37.779
2024-03-08 19:00:00;-0.66;75.224;0.0;18.8895
2024-03-08 20:00:00;-1.192;74.68;0.0;0.0
2024-03-08 21:00:00;-1.359;74.224;0.0;0.0
2024-03-08 22:00:00;-1.616;74.628;0.0;0.0
2024-03-08 23:00:00;-1.467;75.748;0.0;0.0
2024-03-09 00:00:00;-1.28;76.916;0.0;0.0
2024-03-09 01:00:00;-0.202;75.477;0.0;0.0
2024-03-09 02:00:00;-0.614;74.741;0.0;0.0
2024-03-09 03:00:00;-1.306;78.89;0.0;0.0
2024-03-09 04:00:00;-1.842;81.974;0.0;0.0
2024-03-09 05:00:00;-2.255;84.401;0.0;0.0
2024-03-09 06:00:00;-2.258;85.944;0.0;0.0
2024-03-09 07:00:00;1.185;71.613;0.0;47.7485
2024-03-09 08:00:00;1.645;72.209;0.0;95.497
2024-03-09 09:00:00;3.491;62.437;0.0;202.117
2024-03-09 10:00:00;3.873;58.477;0.0;250.6
2024-03-09 11:00:00;4.387;57.087;0.0;253.539
2024-03-09 12:00:00;4.11;56.574;0.051;278.287
2024-03-09 13:00:00;3.491;64.661;0.789;157.553
2024-03-09 14:00:00;2.367;73.322;0.477;36.819
2024-03-09 15:00:00;2.684;72.168;0.165;22.069
2024-03-09 16:00:00;2.435;87.124;0.268;14.299
2024-03-09 17:00:00;1.805;92.038;1.226;13.433
2024-03-09 18:00:00;1.686;97.544;1.861;2.519
2024-03-09 19:00:00;2.808;91.737;2.101;1.2595
2024-03-09 20:00:00;2.133;97.439;1.851;0.0
2024-03-09 21:00:00;2.169;97.809;1.601;0.0
2024-03-09 22:00:00;2.163;98.128;2.618;0.0
2024-03-09 23:00:00;2.01;97.605;1.323;0.0
2024-03-10 00:00:00;1.944;98.343;1.157;0.0
2024-03-10 01:00:00;2.329;97.167;1.041;0.0
2024-03-10 02:00:00;1.856;98.017;1.187;0.0
2024-03-10 03:00:00;1.383;98.868;1.334;0.0
2024-03-10 04:00:00;0.484;99.95;1.48;0.0
2024-03-10 05:00:00;0.145;99.77;3.744;0.0
2024-03-10 06:00:00;0.13;99.773;6.739;0.0
2024-03-10 07:00:00;0.249;99.0895;3.7445;4.127666666666666
2024-03-10 08:00:00;0.368;98.406;0.75;8.255333333333333
2024-03-10 09:00:00;0.038;99.735;0.736;12.383
2024-03-10 10:00:00;0.14;99.599;0.721;27.075
2024-03-10 11:00:00;0.364;99.056;0.932;46.174
2024-03-10 12:00:00;0.517;99.582;0.593;70.521
2024-03-10 13:00:00;0.675;99.203;0.405;76.039
2024-03-10 14:00:00;2.132;92.659;0.366;83.9195
2024-03-10 15:00:00;0.775;98.681;0.253;91.8
2024-03-10 16:00:00;0.232;99.482;0.139;70.65
2024-03-10 17:00:00;-0.388;98.218;0.093;32.356
2024-03-10 18:00:00;-1.189;97.155;0.065;16.073
2024-03-10 19:00:00;-1.717;95.81;0.456;5.14
2024-03-10 20:00:00;-1.561;94.431;0.849;2.57
2024-03-10 21:00:00;-2.413;92.939;0.634;0.0
2024-03-10 22:00:00;-3.056;90.144;0.42;0.0
2024-03-10 23:00:00;-3.487;84.9;0.222;0.0
2024-03-11 00:00:00;-3.906;79.748;0.045;0.0
2024-03-11 01:00:00;-4.23;78.535;0.001;0.0
2024-03-11 02:00:00;-3.619;78.695;0.0;0.0
2024-03-11 03:00:00;-4.331;76.332;0.0;0.0
2024-03-11 04:00:00;-4.377;75.68;0.0;0.0
2024-03-11 05:00:00;-4.393;74.957;0.0;0.0
2024-03-11 06:00:00;-4.47;74.034;0.0;0.0
2024-03-11 07:00:00;-4.438;73.874;0.0;0.0
2024-03-11 08:00:00;-3.407;70.492;0.0;28.1245
2024-03-11 09:00:00;-3.611;71.063;0.0;56.249
2024-03-11 10:00:00;-3.192;70.396;0.0;88.151
2024-03-11 11:00:00;-2.505;68.725;0.0;133.486
2024-03-11 12:00:00;-2.023;67.997;0.0;167.067
2024-03-11 13:00:00;-1.756;68.586;0.0;155.666
2024-03-11 14:00:00;0.276;61.502;0.0;381.7295
2024-03-11 15:00:00;1.659;57.751;0.0;607.793
2024-03-11 16:00:00;1.976;57.448;0.0;545.66
2024-03-11 17:00:00;2.573;55.841;0.0;395.689
2024-03-11 18:00:00;2.06;52.888;0.0;214.417
2024-03-11 19:00:00;0.795;55.046;0.0;47.853
2024-03-11 20:00:00;1.472;46.645;0.0;23.9265
2024-03-11 21:00:00;-0.344;57.145;0.0;0.0
2024-03-11 22:00:00;-0.796;57.842;0.0;0.0
2024-03-11 23:00:00;-1.568;60.157;0.0;0.0
2024-03-12 00:00:00;-2.068;62.217;0.0;0.0
2024-03-12 01:00:00;-2.011;63.051;0.0;0.0
2024-03-12 02:00:00;1.0;47.151;0.0;0.0
2024-03-12 03:00:00;-1.352;62.826;0.0;0.0
